Total.Household.Income,Region,Total.Food.Expenditure,Household.Head.Sex,Household.Head.Age,Type.of.Household,Total.Number.of.Family.members,House.Floor.Area,House.Age,Number.of.bedrooms,Electricity
163560,IX - Zasmboanga Peninsula,61746,Male,65,Extended Family,10,62,25,3,1
98497,IX - Zasmboanga Peninsula,61438,Male,41,Extended Family,7,25,19,2,1
44775,IX - Zasmboanga Peninsula,19265,Male,47,Single Family,2,20,7,1,1
144764,IX - Zasmboanga Peninsula,67485,Female,50,Extended Family,10,64,43,3,1
66690,IX - Zasmboanga Peninsula,43886,Male,27,Single Family,6,33,8,1,1
77915,IX - Zasmboanga Peninsula,29658,Male,78,Single Family,5,45,2,1,1
285659,IX - Zasmboanga Peninsula,74445,Female,52,Extended Family,7,50,10,2,1
83031,IX - Zasmboanga Peninsula,41187,Male,57,Extended Family,3,32,9,2,1
160949,IX - Zasmboanga Peninsula,35006,Female,71,Single Family,2,43,42,2,1
99140,IX - Zasmboanga Peninsula,32392,Male,62,Extended Family,5,54,14,1,1
46500,IX - Zasmboanga Peninsula,26018,Male,45,Single Family,5,38,7,1,1
106871,IX - Zasmboanga Peninsula,49741,Female,44,Extended Family,6,26,16,2,1
80169,IX - Zasmboanga Peninsula,44310,Male,37,Single Family,5,35,10,1,1
101775,IX - Zasmboanga Peninsula,29333,Male,55,Single Family,1,23,10,2,1
137460,IX - Zasmboanga Peninsula,22623,Male,62,Single Family,1,43,8,3,1
78350,IX - Zasmboanga Peninsula,42864,Male,57,Extended Family,10,35,10,2,1
97493,IX - Zasmboanga Peninsula,31316,Male,63,Extended Family,5,37,41,2,1
380135,IX - Zasmboanga Peninsula,67926,Male,46,Single Family,5,39,13,2,1
168789,IX - Zasmboanga Peninsula,53548,Male,76,Extended Family,4,81,4,5,1
91689,IX - Zasmboanga Peninsula,43379,Male,41,Single Family,7,37,14,1,1
60985,IX - Zasmboanga Peninsula,31247,Male,54,Single Family,2,25,25,1,0
60318,IX - Zasmboanga Peninsula,23389,Female,80,Single Family,2,43,9,2,1
73960,IX - Zasmboanga Peninsula,34374,Female,72,Extended Family,3,20,29,2,1
74955,IX - Zasmboanga Peninsula,36183,Female,62,Extended Family,4,17,27,2,1
43346,IX - Zasmboanga Peninsula,18143,Male,76,Single Family,2,16,26,2,1
61551,IX - Zasmboanga Peninsula,28677,Male,37,Single Family,3,23,4,1,0
74668,IX - Zasmboanga Peninsula,35356,Male,44,Single Family,8,14,0,1,0
95218,IX - Zasmboanga Peninsula,41731,Male,48,Single Family,3,11,0,1,0
56571,IX - Zasmboanga Peninsula,18893,Male,56,Single Family,1,32,52,2,1
354665,IX - Zasmboanga Peninsula,108132,Male,32,Single Family,3,23,2,1,1
86690,IX - Zasmboanga Peninsula,48223,Male,56,Single Family,4,17,31,1,1
80285,IX - Zasmboanga Peninsula,31686,Male,60,Extended Family,4,17,25,2,1
119953,IX - Zasmboanga Peninsula,45013,Male,64,Extended Family,7,18,20,2,1
79287,IX - Zasmboanga Peninsula,35069,Male,60,Single Family,4,15,13,3,1
74858,IX - Zasmboanga Peninsula,31136,Female,33,Single Family,3,14,10,1,1
41752,IX - Zasmboanga Peninsula,16831,Male,56,Single Family,3,10,10,1,1
78639,IX - Zasmboanga Peninsula,53709,Male,47,Single Family,8,11,10,1,1
79998,IX - Zasmboanga Peninsula,43889,Male,49,Single Family,6,10,2,2,0
155359,IX - Zasmboanga Peninsula,32188,Male,52,Single Family,3,26,11,2,1
492580,IX - Zasmboanga Peninsula,100398,Male,51,Single Family,4,23,7,2,1
373742,IX - Zasmboanga Peninsula,122982,Female,42,Extended Family,6,92,50,5,1
63378,IX - Zasmboanga Peninsula,20528,Female,59,Extended Family,2,20,4,0,1
129046,IX - Zasmboanga Peninsula,58896,Male,45,Single Family,4,45,6,1,1
154384,IX - Zasmboanga Peninsula,80451,Male,42,Single Family,6,18,12,0,0
133985,IX - Zasmboanga Peninsula,78010,Male,67,Extended Family,6,100,15,2,1
131671,IX - Zasmboanga Peninsula,66682,Male,39,Single Family,6,50,15,1,1
36977,IX - Zasmboanga Peninsula,18979,Female,84,Single Family,2,40,15,0,0
97358,IX - Zasmboanga Peninsula,61670,Male,39,Single Family,8,20,18,1,0
405801,IX - Zasmboanga Peninsula,158791,Male,41,Extended Family,7,100,13,2,1
134370,IX - Zasmboanga Peninsula,61408,Male,47,Single Family,5,45,15,2,1
166390,IX - Zasmboanga Peninsula,87337,Male,50,Single Family,4,50,15,2,1
181915,IX - Zasmboanga Peninsula,86122,Male,47,Single Family,5,50,2,1,1
76962,IX - Zasmboanga Peninsula,43413,Male,63,Extended Family,4,40,15,1,1
50314,IX - Zasmboanga Peninsula,14357,Male,72,Single Family,2,11,1,1,0
139735,IX - Zasmboanga Peninsula,44759,Male,46,Single Family,4,30,13,2,1
97666,IX - Zasmboanga Peninsula,40531,Female,57,Extended Family,6,15,15,2,1
104865,IX - Zasmboanga Peninsula,40510,Male,50,Single Family,6,19,14,2,1
48694,IX - Zasmboanga Peninsula,19296,Female,70,Extended Family,4,11,3,0,1
73325,IX - Zasmboanga Peninsula,37420,Male,48,Extended Family,6,32,2,2,1
47438,IX - Zasmboanga Peninsula,25014,Male,51,Extended Family,6,27,2,2,1
110705,IX - Zasmboanga Peninsula,35000,Male,78,Extended Family,3,43,13,2,1
137644,IX - Zasmboanga Peninsula,51253,Male,59,Extended Family,5,23,11,2,1
99741,IX - Zasmboanga Peninsula,42561,Female,41,Extended Family,5,20,15,1,1
636392,IX - Zasmboanga Peninsula,125339,Male,60,Single Family,5,76,17,3,1
1981267,IX - Zasmboanga Peninsula,300176,Male,57,Extended Family,6,100,15,5,1
384000,IX - Zasmboanga Peninsula,34300,Female,64,Extended Family,3,23,16,3,1
69079,IX - Zasmboanga Peninsula,43179,Male,49,Single Family,4,15,15,1,1
292533,IX - Zasmboanga Peninsula,110204,Female,29,Extended Family,4,40,17,3,1
484392,IX - Zasmboanga Peninsula,116361,Male,43,Single Family,5,43,18,2,1
50619,IX - Zasmboanga Peninsula,34905,Male,64,Extended Family,3,20,14,1,1
117895,IX - Zasmboanga Peninsula,58429,Male,52,Single Family,4,20,7,2,1
52557,IX - Zasmboanga Peninsula,21430,Female,41,Two or More Nonrelated Persons/Members,2,18,8,1,1
91954,IX - Zasmboanga Peninsula,46695,Male,42,Extended Family,5,36,12,3,1
168235,IX - Zasmboanga Peninsula,63977,Female,53,Extended Family,7,10,13,1,1
613608,IX - Zasmboanga Peninsula,58663,Female,53,Extended Family,2,96,35,2,1
181215,IX - Zasmboanga Peninsula,77545,Male,63,Extended Family,10,13,13,3,1
251832,IX - Zasmboanga Peninsula,81998,Male,42,Single Family,6,45,6,3,1
607445,IX - Zasmboanga Peninsula,142898,Female,46,Extended Family,6,120,4,2,1
153709,IX - Zasmboanga Peninsula,51326,Female,73,Single Family,4,21,41,2,1
46595,IX - Zasmboanga Peninsula,14505,Male,50,Single Family,1,10,23,2,0
114630,IX - Zasmboanga Peninsula,38406,Male,49,Single Family,3,15,2,1,1
139912,IX - Zasmboanga Peninsula,71870,Male,49,Single Family,7,10,7,1,0
63185,IX - Zasmboanga Peninsula,33819,Male,37,Single Family,5,14,3,1,0
83851,IX - Zasmboanga Peninsula,41904,Male,49,Single Family,4,11,1,2,0
84628,IX - Zasmboanga Peninsula,38781,Male,55,Extended Family,7,11,4,2,1
99410,IX - Zasmboanga Peninsula,55501,Male,50,Single Family,5,23,2,3,0
29463,IX - Zasmboanga Peninsula,5408,Male,76,Single Family,1,15,17,0,0
79940,IX - Zasmboanga Peninsula,37712,Male,49,Single Family,4,36,5,3,1
51632,IX - Zasmboanga Peninsula,22322,Male,37,Single Family,3,29,3,1,1
86015,IX - Zasmboanga Peninsula,41628,Male,39,Single Family,8,11,3,1,0
115093,IX - Zasmboanga Peninsula,52511,Female,37,Single Family,6,29,8,2,1
34969,IX - Zasmboanga Peninsula,14855,Male,78,Single Family,3,20,2,1,1
624971,IX - Zasmboanga Peninsula,98404,Male,37,Extended Family,5,108,7,3,1
105705,IX - Zasmboanga Peninsula,46578,Male,51,Extended Family,9,43,3,0,0
75645,IX - Zasmboanga Peninsula,49153,Male,36,Single Family,6,28,2,2,1
157660,IX - Zasmboanga Peninsula,77320,Male,65,Extended Family,10,22,17,2,1
70699,IX - Zasmboanga Peninsula,33774,Male,35,Single Family,6,14,11,1,0
31872,IX - Zasmboanga Peninsula,15546,Male,39,Single Family,3,11,3,1,0
62405,IX - Zasmboanga Peninsula,48199,Male,35,Single Family,5,11,7,1,0
112181,IX - Zasmboanga Peninsula,57816,Male,40,Extended Family,6,11,8,1,1
143424,IX - Zasmboanga Peninsula,77511,Male,45,Extended Family,8,10,3,2,0
145500,IX - Zasmboanga Peninsula,43651,Male,52,Single Family,2,21,12,2,1
237211,IX - Zasmboanga Peninsula,95019,Male,29,Single Family,3,15,12,1,1
146899,IX - Zasmboanga Peninsula,48575,Male,36,Extended Family,6,130,12,1,1
112134,IX - Zasmboanga Peninsula,51455,Male,39,Single Family,6,13,6,2,0
708095,IX - Zasmboanga Peninsula,100730,Male,45,Single Family,2,20,15,2,1
180659,IX - Zasmboanga Peninsula,104706,Male,55,Single Family,8,10,13,2,1
126648,IX - Zasmboanga Peninsula,59896,Male,40,Single Family,3,16,12,2,1
143861,IX - Zasmboanga Peninsula,80235,Male,49,Single Family,2,15,11,1,0
136356,IX - Zasmboanga Peninsula,87932,Male,58,Single Family,3,20,12,1,0
139576,IX - Zasmboanga Peninsula,94815,Male,34,Single Family,7,15,8,1,0
92628,IX - Zasmboanga Peninsula,41216,Male,51,Single Family,3,10,12,1,0
116089,IX - Zasmboanga Peninsula,57778,Male,30,Single Family,4,10,9,1,0
142989,IX - Zasmboanga Peninsula,104978,Male,43,Single Family,6,15,3,2,0
133417,IX - Zasmboanga Peninsula,62142,Male,24,Single Family,3,15,13,0,1
101930,IX - Zasmboanga Peninsula,33397,Male,45,Single Family,4,26,11,1,1
241645,IX - Zasmboanga Peninsula,71149,Male,71,Extended Family,5,43,7,5,1
98743,IX - Zasmboanga Peninsula,35862,Male,44,Single Family,5,32,20,1,1
117628,IX - Zasmboanga Peninsula,47481,Male,63,Single Family,6,32,14,3,1
87186,IX - Zasmboanga Peninsula,18084,Male,63,Single Family,2,56,4,2,1
46997,IX - Zasmboanga Peninsula,20822,Male,54,Single Family,2,43,10,2,1
109008,IX - Zasmboanga Peninsula,30123,Male,32,Single Family,4,37,4,1,1
71802,IX - Zasmboanga Peninsula,33981,Male,44,Single Family,3,35,6,1,1
57453,IX - Zasmboanga Peninsula,33549,Male,46,Single Family,6,36,10,1,1
389025,IX - Zasmboanga Peninsula,50391,Male,51,Single Family,4,39,14,3,1
45100,IX - Zasmboanga Peninsula,20817,Male,66,Extended Family,4,20,10,2,1
80189,IX - Zasmboanga Peninsula,34999,Male,57,Extended Family,4,52,7,0,1
188459,IX - Zasmboanga Peninsula,71265,Male,52,Extended Family,4,32,20,2,1
65022,IX - Zasmboanga Peninsula,27082,Male,61,Single Family,2,27,10,1,1
50503,IX - Zasmboanga Peninsula,18610,Male,36,Single Family,4,27,6,1,0
73133,IX - Zasmboanga Peninsula,32319,Male,60,Single Family,4,27,5,1,1
189553,IX - Zasmboanga Peninsula,36768,Male,63,Extended Family,8,54,13,3,1
53602,IX - Zasmboanga Peninsula,18131,Male,74,Single Family,2,29,1,2,1
56735,IX - Zasmboanga Peninsula,27310,Male,61,Single Family,5,23,38,1,0
62389,IX - Zasmboanga Peninsula,15133,Male,60,Single Family,2,54,35,2,1
282855,IX - Zasmboanga Peninsula,171684,Male,45,Single Family,4,39,12,3,1
67552,IX - Zasmboanga Peninsula,17921,Female,77,Single Family,3,20,22,2,1
48511,IX - Zasmboanga Peninsula,21099,Male,69,Single Family,2,23,12,2,1
66269,IX - Zasmboanga Peninsula,30148,Male,44,Single Family,6,32,17,2,1
111877,IX - Zasmboanga Peninsula,46683,Male,66,Extended Family,5,54,12,3,1
94613,IX - Zasmboanga Peninsula,29558,Male,55,Single Family,3,15,16,2,1
62856,IX - Zasmboanga Peninsula,24773,Male,68,Single Family,4,32,20,3,1
75785,IX - Zasmboanga Peninsula,22989,Female,40,Single Family,4,32,16,2,1
322721,IX - Zasmboanga Peninsula,57390,Male,58,Single Family,6,71,25,3,1
80531,IX - Zasmboanga Peninsula,42588,Male,72,Extended Family,5,108,13,2,1
100727,IX - Zasmboanga Peninsula,30071,Male,52,Extended Family,5,13,2,2,1
39265,IX - Zasmboanga Peninsula,13550,Male,71,Extended Family,3,19,30,2,0
86760,IX - Zasmboanga Peninsula,34770,Male,46,Single Family,8,16,6,2,1
128562,IX - Zasmboanga Peninsula,44748,Male,57,Extended Family,8,92,14,4,1
113181,IX - Zasmboanga Peninsula,46648,Male,59,Extended Family,9,49,9,2,1
175956,IX - Zasmboanga Peninsula,63568,Female,65,Extended Family,10,18,15,1,1
71867,IX - Zasmboanga Peninsula,30759,Male,36,Single Family,5,23,14,2,1
150458,IX - Zasmboanga Peninsula,76452,Male,47,Extended Family,11,39,16,2,1
101853,IX - Zasmboanga Peninsula,34920,Male,53,Extended Family,5,43,28,2,1
97388,IX - Zasmboanga Peninsula,41662,Female,54,Extended Family,7,23,24,2,1
87444,IX - Zasmboanga Peninsula,33698,Female,58,Extended Family,4,27,25,3,1
109530,IX - Zasmboanga Peninsula,42288,Male,60,Single Family,6,16,11,2,1
111435,IX - Zasmboanga Peninsula,73342,Male,31,Single Family,4,32,2,2,1
77253,IX - Zasmboanga Peninsula,29877,Female,25,Single Family,2,15,4,1,1
106570,IX - Zasmboanga Peninsula,55785,Male,57,Single Family,5,45,5,2,0
104464,IX - Zasmboanga Peninsula,56116,Male,28,Single Family,4,45,3,1,1
80432,IX - Zasmboanga Peninsula,40883,Male,69,Single Family,2,19,7,2,0
79750,IX - Zasmboanga Peninsula,39192,Male,41,Single Family,2,14,2,1,0
187390,IX - Zasmboanga Peninsula,83515,Male,52,Single Family,4,43,10,2,1
127030,IX - Zasmboanga Peninsula,70087,Male,41,Single Family,5,29,2,0,1
107540,IX - Zasmboanga Peninsula,59235,Male,30,Single Family,4,39,3,2,1
140940,IX - Zasmboanga Peninsula,64439,Male,53,Single Family,4,30,15,2,1
168065,IX - Zasmboanga Peninsula,79998,Female,73,Extended Family,4,54,17,2,1
331746,IX - Zasmboanga Peninsula,81768,Female,34,Single Family,4,32,15,2,1
100705,IX - Zasmboanga Peninsula,58313,Male,43,Single Family,4,50,7,1,1
68875,IX - Zasmboanga Peninsula,39547,Male,69,Single Family,2,43,7,1,0
123705,IX - Zasmboanga Peninsula,66169,Male,59,Single Family,8,43,7,2,1
71405,IX - Zasmboanga Peninsula,42253,Male,73,Single Family,2,20,17,2,0
177514,IX - Zasmboanga Peninsula,60099,Male,48,Single Family,4,26,35,2,0
80285,IX - Zasmboanga Peninsula,39441,Male,57,Single Family,2,54,15,2,0
58660,IX - Zasmboanga Peninsula,32097,Male,45,Single Family,1,20,3,2,0
96893,IX - Zasmboanga Peninsula,50234,Male,33,Single Family,4,26,15,2,1
107835,IX - Zasmboanga Peninsula,58935,Female,73,Single Family,3,28,13,2,0
39532,IX - Zasmboanga Peninsula,12382,Male,19,Single Family,1,40,10,2,0
76805,IX - Zasmboanga Peninsula,37471,Male,56,Single Family,7,45,6,2,1
137678,IX - Zasmboanga Peninsula,47260,Male,56,Single Family,3,29,7,2,1
85163,IX - Zasmboanga Peninsula,48718,Male,64,Single Family,5,35,1,1,1
215427,IX - Zasmboanga Peninsula,96448,Male,53,Single Family,5,48,4,3,1
104795,IX - Zasmboanga Peninsula,50898,Male,46,Single Family,3,27,4,0,0
164126,IX - Zasmboanga Peninsula,75293,Male,55,Single Family,10,40,20,3,0
105890,IX - Zasmboanga Peninsula,45595,Male,67,Single Family,4,48,4,1,1
47617,IX - Zasmboanga Peninsula,16369,Female,64,Single Family,2,43,5,0,0
114640,IX - Zasmboanga Peninsula,64284,Male,36,Single Family,4,26,2,2,1
230175,IX - Zasmboanga Peninsula,104645,Male,70,Single Family,8,43,20,2,1
213590,IX - Zasmboanga Peninsula,94884,Male,57,Single Family,5,26,1,2,1
175515,IX - Zasmboanga Peninsula,73905,Male,50,Single Family,4,27,6,2,1
304858,IX - Zasmboanga Peninsula,103474,Male,69,Single Family,5,70,13,3,1
151470,IX - Zasmboanga Peninsula,39214,Male,64,Single Family,2,26,28,3,1
93065,IX - Zasmboanga Peninsula,64025,Male,37,Single Family,6,60,11,1,1
81266,IX - Zasmboanga Peninsula,39685,Male,66,Extended Family,6,26,19,2,1
193323,IX - Zasmboanga Peninsula,60586,Male,58,Extended Family,5,30,17,2,1
216324,IX - Zasmboanga Peninsula,112105,Male,70,Extended Family,5,28,11,3,1
110600,IX - Zasmboanga Peninsula,55015,Male,35,Single Family,4,28,9,1,1
153504,IX - Zasmboanga Peninsula,67331,Male,53,Single Family,4,30,11,3,1
94225,IX - Zasmboanga Peninsula,63886,Female,82,Two or More Nonrelated Persons/Members,5,48,18,2,0
142955,IX - Zasmboanga Peninsula,75781,Male,49,Single Family,5,22,20,1,1
116768,IX - Zasmboanga Peninsula,39012,Male,53,Single Family,2,60,18,3,1
114129,IX - Zasmboanga Peninsula,74663,Male,68,Extended Family,7,40,22,3,1
105383,IX - Zasmboanga Peninsula,68247,Male,36,Single Family,5,18,10,1,1
120283,IX - Zasmboanga Peninsula,69430,Female,35,Single Family,5,30,5,1,1
39662,IX - Zasmboanga Peninsula,26225,Male,68,Single Family,1,20,15,1,1
28927,IX - Zasmboanga Peninsula,14447,Male,66,Single Family,1,14,25,1,0
165644,IX - Zasmboanga Peninsula,87554,Male,47,Single Family,9,30,15,3,1
96217,IX - Zasmboanga Peninsula,62996,Male,54,Single Family,4,25,25,1,1
164938,IX - Zasmboanga Peninsula,102894,Male,50,Extended Family,6,34,25,3,1
135040,IX - Zasmboanga Peninsula,60871,Male,80,Single Family,4,22,18,3,1
100472,IX - Zasmboanga Peninsula,32300,Female,78,Extended Family,2,28,35,3,1
87765,IX - Zasmboanga Peninsula,48820,Male,30,Single Family,5,24,16,1,1
150082,IX - Zasmboanga Peninsula,75138,Female,16,Single Family,3,24,20,2,1
105328,IX - Zasmboanga Peninsula,60515,Male,52,Single Family,7,28,28,1,1
160685,IX - Zasmboanga Peninsula,81331,Female,86,Extended Family,8,42,9,2,1
123731,IX - Zasmboanga Peninsula,66021,Male,47,Single Family,7,42,12,2,1
37998,IX - Zasmboanga Peninsula,19950,Female,75,Single Family,1,20,11,0,0
143120,IX - Zasmboanga Peninsula,68761,Male,50,Single Family,7,28,23,2,1
446148,IX - Zasmboanga Peninsula,87863,Male,58,Single Family,5,36,19,3,1
1154757,IX - Zasmboanga Peninsula,140702,Male,74,Extended Family,6,184,55,5,1
118784,IX - Zasmboanga Peninsula,50185,Female,52,Single Family,2,192,10,2,1
170154,IX - Zasmboanga Peninsula,102964,Female,56,Extended Family,4,26,20,4,1
228740,IX - Zasmboanga Peninsula,79279,Male,75,Extended Family,10,13,30,1,1
246300,IX - Zasmboanga Peninsula,93563,Male,60,Extended Family,6,50,9,2,1
275900,IX - Zasmboanga Peninsula,94630,Male,58,Extended Family,6,52,29,4,1
161868,IX - Zasmboanga Peninsula,69266,Male,37,Single Family,5,192,55,3,1
112732,IX - Zasmboanga Peninsula,60334,Male,33,Single Family,3,18,10,1,1
126788,IX - Zasmboanga Peninsula,71135,Male,54,Single Family,4,45,29,4,1
160916,IX - Zasmboanga Peninsula,84939,Male,38,Single Family,5,26,8,1,1
150754,IX - Zasmboanga Peninsula,66175,Male,50,Single Family,4,12,34,1,1
126880,IX - Zasmboanga Peninsula,48923,Male,64,Extended Family,4,120,19,5,1
931281,IX - Zasmboanga Peninsula,129084,Male,48,Single Family,4,30,12,3,1
142387,IX - Zasmboanga Peninsula,70781,Male,50,Single Family,7,22,25,2,1
740418,IX - Zasmboanga Peninsula,192700,Male,51,Single Family,5,80,15,4,1
335600,IX - Zasmboanga Peninsula,57811,Male,34,Single Family,3,19,35,1,1
221450,IX - Zasmboanga Peninsula,122590,Male,51,Extended Family,9,19,30,1,1
343080,IX - Zasmboanga Peninsula,77561,Male,50,Single Family,3,24,25,2,1
160590,IX - Zasmboanga Peninsula,109638,Female,61,Extended Family,11,22,30,2,1
192633,IX - Zasmboanga Peninsula,79013,Male,49,Single Family,5,24,28,1,0
74045,IX - Zasmboanga Peninsula,40471,Female,56,Single Family,2,16,29,1,1
115274,IX - Zasmboanga Peninsula,74763,Male,49,Extended Family,6,24,25,2,1
143402,IX - Zasmboanga Peninsula,47494,Female,54,Single Family,1,19,35,1,1
443944,IX - Zasmboanga Peninsula,152823,Female,79,Extended Family,9,19,37,2,1
196772,IX - Zasmboanga Peninsula,85893,Male,35,Single Family,4,24,7,2,1
207591,IX - Zasmboanga Peninsula,133983,Female,49,Extended Family,11,20,13,2,1
443236,IX - Zasmboanga Peninsula,129866,Male,39,Extended Family,5,22,35,2,1
124420,IX - Zasmboanga Peninsula,72962,Male,40,Extended Family,5,20,30,2,1
172522,IX - Zasmboanga Peninsula,90572,Male,53,Extended Family,12,30,3,2,1
162750,IX - Zasmboanga Peninsula,100895,Male,66,Extended Family,9,20,29,1,1
176518,IX - Zasmboanga Peninsula,87148,Male,46,Extended Family,13,16,4,2,1
74223,IX - Zasmboanga Peninsula,38927,Female,82,Extended Family,2,20,20,0,1
108341,IX - Zasmboanga Peninsula,54138,Male,35,Extended Family,6,14,3,2,1
131764,IX - Zasmboanga Peninsula,72120,Male,43,Single Family,6,12,4,0,1
111355,IX - Zasmboanga Peninsula,60363,Male,43,Single Family,6,16,4,1,1
93500,IX - Zasmboanga Peninsula,48495,Male,47,Single Family,4,16,25,2,1
131025,IX - Zasmboanga Peninsula,50203,Male,55,Extended Family,3,20,14,3,1
184090,IX - Zasmboanga Peninsula,108231,Male,36,Single Family,9,20,3,1,1
136818,IX - Zasmboanga Peninsula,77903,Female,52,Extended Family,5,18,15,2,1
82698,IX - Zasmboanga Peninsula,35468,Male,55,Single Family,7,11,20,1,1
64401,IX - Zasmboanga Peninsula,50197,Female,30,Single Family,3,20,20,1,1
50306,IX - Zasmboanga Peninsula,33144,Male,54,Single Family,3,10,5,1,0
213522,IX - Zasmboanga Peninsula,54562,Male,59,Single Family,5,15,25,1,1
60058,IX - Zasmboanga Peninsula,30157,Male,43,Single Family,4,80,4,0,0
183964,IX - Zasmboanga Peninsula,72936,Male,51,Single Family,6,120,17,2,1
83190,IX - Zasmboanga Peninsula,40819,Male,57,Single Family,6,60,8,1,0
117199,IX - Zasmboanga Peninsula,43045,Male,46,Single Family,7,11,3,2,0
139249,IX - Zasmboanga Peninsula,60267,Male,46,Single Family,7,96,19,1,0
62059,IX - Zasmboanga Peninsula,28193,Female,58,Extended Family,3,64,3,0,0
54748,IX - Zasmboanga Peninsula,38676,Female,60,Single Family,5,80,25,1,0
58347,IX - Zasmboanga Peninsula,38296,Male,42,Single Family,5,80,17,1,0
78666,IX - Zasmboanga Peninsula,42591,Male,48,Single Family,9,96,8,1,0
38589,IX - Zasmboanga Peninsula,25174,Male,68,Single Family,3,80,25,1,0
67198,IX - Zasmboanga Peninsula,46432,Male,50,Extended Family,6,80,11,1,0
47247,IX - Zasmboanga Peninsula,39691,Female,57,Single Family,7,80,7,1,0
66590,IX - Zasmboanga Peninsula,37472,Male,44,Extended Family,5,21,10,1,0
80639,IX - Zasmboanga Peninsula,52641,Female,70,Single Family,5,21,4,1,1
72668,IX - Zasmboanga Peninsula,49195,Male,60,Extended Family,6,70,23,1,1
68005,IX - Zasmboanga Peninsula,42207,Male,56,Single Family,3,21,20,2,0
68460,IX - Zasmboanga Peninsula,42728,Male,50,Single Family,5,12,4,2,1
65911,IX - Zasmboanga Peninsula,31395,Male,63,Single Family,3,12,2,1,0
105696,IX - Zasmboanga Peninsula,44863,Male,70,Single Family,2,33,30,1,1
24886,IX - Zasmboanga Peninsula,8535,Female,73,Single Family,1,12,35,0,0
143675,IX - Zasmboanga Peninsula,76847,Male,48,Extended Family,5,21,11,2,1
130348,IX - Zasmboanga Peninsula,44746,Male,45,Single Family,4,21,25,1,1
157624,IX - Zasmboanga Peninsula,72952,Female,66,Extended Family,7,12,15,1,1
36138,IX - Zasmboanga Peninsula,15319,Male,54,Single Family,2,9,20,1,0
394625,IX - Zasmboanga Peninsula,83194,Male,60,Single Family,2,56,3,3,1
134419,IX - Zasmboanga Peninsula,81705,Male,55,Extended Family,8,25,3,2,1
53652,IX - Zasmboanga Peninsula,33289,Female,66,Extended Family,5,24,36,2,1
104774,IX - Zasmboanga Peninsula,32748,Female,81,Extended Family,3,20,43,2,1
228971,IX - Zasmboanga Peninsula,86175,Female,44,Single Family,5,17,15,2,1
86996,IX - Zasmboanga Peninsula,44949,Male,64,Single Family,2,11,11,1,1
68387,IX - Zasmboanga Peninsula,27722,Female,76,Extended Family,2,24,3,2,0
94930,IX - Zasmboanga Peninsula,48046,Female,58,Extended Family,3,25,13,2,0
77438,IX - Zasmboanga Peninsula,45676,Male,53,Single Family,3,11,3,1,1
228900,IX - Zasmboanga Peninsula,88056,Male,56,Extended Family,4,69,4,3,1
62964,IX - Zasmboanga Peninsula,39805,Male,51,Extended Family,3,7,7,0,0
132502,IX - Zasmboanga Peninsula,66873,Female,91,Single Family,2,16,68,1,1
85153,IX - Zasmboanga Peninsula,53943,Male,36,Single Family,4,11,8,1,1
91655,IX - Zasmboanga Peninsula,49250,Male,58,Single Family,4,9,15,0,0
111827,IX - Zasmboanga Peninsula,62763,Female,52,Single Family,4,9,16,0,1
437132,IX - Zasmboanga Peninsula,75008,Male,88,Single Family,3,40,45,3,1
91314,IX - Zasmboanga Peninsula,52236,Male,49,Single Family,5,20,14,2,1
80284,IX - Zasmboanga Peninsula,27820,Male,44,Single Family,3,14,22,3,0
122447,IX - Zasmboanga Peninsula,43783,Male,63,Single Family,3,15,4,2,1
53872,IX - Zasmboanga Peninsula,29753,Male,35,Single Family,2,11,17,2,0
69651,IX - Zasmboanga Peninsula,50363,Male,52,Single Family,7,14,4,1,0
74711,IX - Zasmboanga Peninsula,58256,Male,41,Single Family,10,12,4,1,0
35115,IX - Zasmboanga Peninsula,17922,Male,45,Single Family,1,8,4,1,0
131824,IX - Zasmboanga Peninsula,70375,Male,55,Single Family,5,54,18,4,1
108706,IX - Zasmboanga Peninsula,65621,Male,40,Single Family,7,40,3,2,1
67885,IX - Zasmboanga Peninsula,43168,Male,62,Single Family,3,35,21,2,0
91637,IX - Zasmboanga Peninsula,36806,Male,25,Single Family,4,35,21,2,0
203108,IX - Zasmboanga Peninsula,105530,Male,83,Single Family,8,60,3,2,1
96498,IX - Zasmboanga Peninsula,44145,Male,46,Single Family,4,17,2,0,0
122109,IX - Zasmboanga Peninsula,81190,Male,43,Single Family,5,15,12,1,1
169342,IX - Zasmboanga Peninsula,98551,Male,35,Single Family,6,17,13,1,1
91263,IX - Zasmboanga Peninsula,65349,Male,49,Single Family,6,11,2,0,0
123553,IX - Zasmboanga Peninsula,54108,Male,43,Single Family,5,19,18,2,1
66275,IX - Zasmboanga Peninsula,40097,Male,30,Single Family,6,23,3,1,1
79680,IX - Zasmboanga Peninsula,49318,Male,30,Single Family,6,20,5,2,1
32139,IX - Zasmboanga Peninsula,18062,Male,77,Single Family,2,10,29,0,0
243410,IX - Zasmboanga Peninsula,135160,Male,58,Single Family,4,40,15,2,0
52163,IX - Zasmboanga Peninsula,32815,Male,70,Extended Family,4,16,15,2,1
64757,IX - Zasmboanga Peninsula,42465,Male,53,Single Family,5,16,3,2,1
181117,IX - Zasmboanga Peninsula,70913,Male,58,Extended Family,7,37,24,2,1
132042,IX - Zasmboanga Peninsula,66402,Male,28,Extended Family,8,27,4,2,1
